Ruc|Nombre/Razon|A partir del|Resolucion|
20505108672|1818 S.A.C|01/02/2006|RS R.S.254-2005|
20100119227|3M PERU S A|01/06/2002|RS R.S.037-2002|
20447841143|A & G OROSEL SOCIEDAD ANONIMA CERRADA|02/05/2011|RS R.S.082-2011|
20483453362|A & J INVERSIONES SOCIEDAD ANONIMA CERRADA|01/09/2010|RS R.S.217-2010|
20527661171|A & M METAL PERU E.I.R.L.|02/05/2011|RS R.S.082-2011|
20470234599|A K DRILLING INTERNATIONAL S.A.|02/05/2011|RS R.S.082-2011|
20100050359|A W FABER CASTELL PERUANA S A|01/06/2002|RS R.S.037-2002|
20106903230|A. SERVIBAN S.A.|01/06/2002|RS R.S.037-2002|
20100024862|A. TARRILLO BARBA S.A.|01/06/2002|RS R.S.037-2002|
20100022142|ABB S.A.|01/06/2002|RS R.S.037-2002|
20100096936|ABBOTT LABORATORIOS SA|01/06/2002|RS R.S.037-2002|
20253757931|ABENGOA PERU S.A.|01/06/2002|RS R.S.037-2002|
20518685016|ABENGOA TRANSMISION NORTE S.A.|01/01/2010|RS R.S.265-2009|
20100068487|ABRASIVOS S.A.|01/06/2002|RS R.S.037-2002|
20101082840|ABUGATTAS & PERATA INTERNACIONAL S.A.C.|01/06/2002|RS R.S.037-2002|
20290898685|ACADEMIA DE LA MAGISTRATURA|01/11/2002|RS R.S.135-2002|
20100036101|ACEROS BOEHLER DEL PERU S A|01/06/2002|RS R.S.037-2002|
20265835270|ACEROS Y CONCRETOS SAC|01/06/2002|RS R.S.037-2002|
20518710738|ACTIVOS PERUANOS SOCIEDAD ANONIMA CERRADA|02/05/2011|RS R.S.082-2011|
20136740351|ACUACULTURA Y PESCA S.A.C|01/08/2006|RS R.S.091-2006|
20100108616|ADAMS S A|01/06/2002|RS R.S.037-2002|
20261898706|ADEXUS PERU SA|01/06/2002|RS R.S.037-2002|
20347100316|ADIDAS CHILE LIMITADA SUCURSAL DEL PERU|01/06/2002|RS R.S.037-2002|
20492050742|ADM ANDINA PERU S.R.L.|01/01/2010|RS R.S.265-2009|
20506395179|ADM INCA S.A.C.|01/11/2003|RS R.S. 184-2003|
20145259551|ADM-SAO PERU S.A|01/06/2002|RS R.S.037-2002|
20100114934|ADMINISTRACION DE EMPRESAS S A|01/06/2002|RS R.S.037-2002|
20100121809|ADMINISTRADORA CLINICA RICARDO PALMA S.A.|01/06/2002|RS R.S.037-2002|
20306841506|ADMINISTRADORA JOCKEY PLAZA SHOPPING CENTER SA|01/06/2002|RS R.S.037-2002|
20172023089|ADUAMERICA S.A.|01/06/2002|RS R.S.037-2002|
20100010721|AERO TRANSPORTE S A|01/06/2002|RS R.S.037-2002|
20100973392|AEROLINEAS ARGENTINAS S.A.SUCURSAL LIMA|01/06/2002|RS R.S.037-2002|
20514513172|AEROPUERTOS DEL PERU S.A.|01/01/2010|RS R.S.265-2009|
20159855938|AESALUD HOSPITAL VICTOR LARCO HERRERA|01/11/2002|RS R.S.135-2002|
20143980821|AFP HORIZONTE S.A.|01/06/2002|RS R.S.037-2002|
20157036794|AFP INTEGRA S A|01/06/2002|RS R.S.037-2002|
20100128994|AGA S A|01/06/2002|RS R.S.037-2002|
20101483674|AGALPESA S.A.C|01/06/2002|RS R.S.037-2002|
20102051077|AGENCIA DE ADUANA TRANSCONTINENTAL S A|01/06/2002|RS R.S.037-2002|
20101409199|AGENCIA DE ADUANA TRANSOCEANIC S.A.|01/06/2002|RS R.S.037-2002|
20296535428|AGENCIA DE ADUANAS J Y N ASOCIADOS S.A.|01/06/2002|RS R.S.037-2002|
20380799643|AGENCIA DE PROMOCION DE LA INVERSION PRIVADA - PROINVERSION|01/11/2002|RS R.S.135-2002|
20269215624|AGENCIAS UNIVERSALES PERU S.A.|01/06/2002|RS R.S.037-2002|
20100166578|AGRIBRANDS PURINA PERU S.A.|01/06/2002|RS R.S.037-2002|
20367472694|AGRICOLA ATHOS SA|01/02/2003|RS R.S.181-2002|
20372081831|AGRICOLA CHAPI S.A.|01/08/2006|RS R.S.091-2006|
20525413447|AGRICOLA DEL CHIRA S.A.|01/01/2010|RS R.S.265-2009|
20101976867|AGRICOLA LAS LLAMOZAS S.A.|01/06/2002|RS R.S.037-2002|
20168707224|AGRO CORPORACION S.A.C.|01/06/2002|RS R.S.037-2002|
